oshpd_id2,oshpd_id,FACILITY_NAME,LICENSE_CATEGORY_DESC,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,disp_Acute_Care,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Invalid_Blank,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Sex_Female,Sex_Male,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,All_Other_Languages,English,PLS_Other_Unknown,Spanish,dx_Circulatory,dx_Congenital,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Other_Unknown,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,disp_CAH,disp_Childrens_or_Cancer,Zip_Blank_Invalid,Zip_Unknown,dx_Certain_Perinatal_Conditions,disp_Other,disp_Disaster_Care_Site,Unknown_inv_Payer,a_disp_Acute_Care,a_disp_Against_Medical_Advice,a_disp_Died,a_disp_Home_Health_Service,a_disp_Hospice_Care,a_disp_Psychiatric_Care,a_disp_Rehab,a_disp_Routine,a_disp_SN_IC_Care,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Zip_CA_Resident,a_Zip_Homeless,a_Zip_Out_of_State,a_Sex_Female,a_Sex_Male,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Other_Unknown,a_racegrp_asian,a_racegrp_black,a_racegrp_multirace,a_racegrp_other,a_racegrp_unknown,a_racegrp_white,a_Eth_Other_Unknown,a_eth_Hispanic,a_eth_NonHispanic,a_All_Other_Languages,a_English,a_PLS_Other_Unknown,a_Spanish,a_dx_Circulatory,a_dx_Digestive,a_dx_Diseases_of_the_Blood,a_dx_Ear,a_dx_Endocrine,a_dx_Eye,a_dx_Genitourinary,a_dx_Infectious,a_dx_Injury_Poisoning,a_dx_MentalHealth,a_dx_Musculoskeletal,a_dx_Neoplasms,a_dx_Nervous_System,a_dx_Other_Unknown,a_dx_Respiratory,a_dx_Skin,a_dx_Symptoms_Signs_NEC,a_disp_Not_Defined_Elsewhere,a_disp_Prison_Jail,a_disp_Residential_Care,a_Zip_Foreign,a_Zip_Unknown,a_Age_0_09,a_Age_10_19,a_racegrp_aman,a_racegrp_nhpi,a_dx_Congenital,a_dx_Factors_Influencing_Health,a_dx_Pregnancy_Childbirth,a_disp_Childrens_or_Cancer,a_sex_Oth_Unknown,a_dx_Certain_Perinatal_Condition,a_disp_CAH,a_disp_Other,a_Unknown_inv_Payer,a_Zip_Blank_Invalid,a_disp_Invalid_Blank,a_disp_Disaster_Care_Site,ED_STATIONS_ON_1231
106190432,190432,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,General Acute Care Hospital,Los Angeles,13652 CANTARA ST,PANORAMA CITY,91402,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,200-299,District 18,District 46,Northridge South/Reseda North,Urban,1418,828,83,1809,155,30,42,9,593,3,2,57468,444,15479,17258,127,28514,1510,62032,,677,177,33802,29075,11,6727,4342,7679,8077,6954,7583,7962,7741,5823,,123,5836,4181,228,221,33569,932,17798,34557,27653,678,1044,52617,123,9104,6229,14,4925,411,1103,1262,738,822,4330,5328,8961,1881,4097,300,2719,33,1204,5020,1748,11696,,4,1,1,67,,,,110,28,253,1279,159,5,3,1830,529,384,2522,6,1266,25,4133,51,17,2127,2076,143,292,357,511,836,988,1039,8,476,320,,1683,54,1670,17,1732,2454,114,3446,11,632,536,722,56,,160,,214,1288,377,36,118,120,93,3,281,55,62,1,,,,,,29,,,1,1,80,,,,,6,,2,,,41
106190434,190434,KAISER FOUNDATION HOSPITAL - WEST LA,General Acute Care Hospital,Los Angeles,6041 CADILLAC AVE,LOS ANGELES,90034,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,200-299,District 30,District 54,Hancock Park/Mid-City West/Park La Brea,Urban,1268,973,50,984,74,11,139,34,558,9,4,76560,175,26028,18386,103,29432,6911,78668,5,1706,467,45443,35401,16,9256,6044,12483,12101,8642,8985,8862,7570,6917,,181,2680,34480,422,183,28304,3732,10878,27070,51114,2676,411,73129,357,6963,6269,11,5772,647,1520,1586,1048,1637,5143,5693,13232,2607,6246,346,3229,66,1888,7311,2767,13755,,21,11,3,87,,,,245,47,314,1885,146,9,13,2018,444,654,3065,7,1278,127,5040,76,15,2803,2328,210,369,418,607,946,1206,1351,5,241,2586,21,1244,38,989,23,1293,3815,49,4492,16,574,961,744,134,3,336,1,233,1365,302,54,127,143,121,4,334,54,91,2,,,,,,19,,12,5,4,115,,,,,8,,,,,53
106190462,190462,AURORA LAS ENCINAS HOSPITAL,Acute Psychiatric Hospital,Los Angeles,2900 E DEL MAR BLVD,PASADENA,91107,Investor - Limited Liability Company,,,,,100-149,District 25,District 41,Pasadena South/San Marino/South Pasadena,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,3,4,,,3,1,,,,,,,,4,,,,,4,,4,,,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
106190470,190470,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,General Acute Care Hospital,Los Angeles,4101 TORRANCE BLVD,TORRANCE,90503,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 26,District 66,Redondo Beach Central and South/Torrance West Central,Urban,1227,5,95,85,4,8,28,107,297,4,8,38399,139,19668,7348,818,11480,1183,39371,104,459,533,22735,17751,11,5258,3742,5711,6083,4785,5089,4548,2853,2418,10,88,2812,6014,1222,231,13608,452,16070,18754,21346,397,1046,33478,78,5895,2749,11,2506,149,732,600,380,440,2991,2648,8262,1620,3095,147,1707,45,1179,3150,1259,6750,1,90,2,28,77,,,,363,256,443,1945,390,15,104,6190,1627,2219,5769,104,3142,134,11008,235,101,5924,5444,449,806,922,1531,2144,2194,2900,1,1138,2010,328,2552,79,5110,103,3414,7851,577,9085,21,1685,2560,1582,127,30,590,10,795,1731,1033,165,296,361,467,1,793,259,272,2,1,26,21,1,315,106,35,116,9,12,233,2,,42,4,,,2,,,29
106190500,190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,General Acute Care Hospital,Los Angeles,4650 LINCOLN BLVD,MARINA DEL REY,90292,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 26,District 62,Baldwin Hills/Culver City South/Fox Hills/Ladera Heights/Marina del Rey/View Park/Windsor Hills,Urban,770,1549,25,2,1,,220,,610,4,,29498,6,13867,5096,797,11050,1875,28659,284,2015,1699,17658,15018,9,1788,2007,6425,6432,4512,4196,3352,2156,1777,40,51,1288,9592,462,106,2927,251,18008,7260,25115,310,306,30945,114,1320,1945,7,1847,100,453,330,316,1588,1960,1743,7595,1824,2358,72,1249,74,572,2145,1307,5200,,,2,26,,,,,305,213,123,697,81,22,166,1766,615,708,2329,24,888,67,3584,275,133,2025,1990,185,308,381,566,679,738,1143,1,156,1204,68,236,30,2299,30,618,3368,100,3709,16,191,559,610,51,4,219,4,282,911,387,123,159,83,133,,292,100,82,,,28,23,,,15,11,12,1,2,14,,1,,,,,1,,,18
106190517,190517,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER,General Acute Care Hospital,Los Angeles,18321 CLARK ST,TARZANA,91356,Investor - Limited Liability Company,,Emergency - Basic,,,200-299,District 27,District 45,Encino/Tarzana/Warner Center/Woodland Hills,Urban,495,494,38,23,7,8,18,70,314,2,95,39170,222,21230,7049,329,11336,1018,40270,15,267,396,22546,18412,4,8129,3913,5332,5910,4370,4105,3840,2776,2582,5,37,939,2248,909,60,9224,435,27110,13293,27261,408,2267,34419,65,4211,2274,8,1981,112,874,360,509,599,2343,2967,7365,1366,2605,82,1417,18,1204,4732,1401,8656,,6,4,10,89,,,,200,246,284,1555,166,25,66,4112,1216,1514,4350,37,2006,49,7804,90,54,4052,3904,294,483,489,782,1275,1479,2372,,320,290,183,1301,79,5764,89,1409,6458,983,6294,19,660,1592,1175,93,20,370,8,559,1197,649,98,168,224,290,1,651,154,243,5,,77,5,,629,153,,19,8,10,225,4,,221,,,,3,,,15
106190521,190521,MEMORIAL HOSPITAL OF GARDENA,General Acute Care Hospital,Los Angeles,1145 W REDONDO BEACH BLVD,GARDENA,90247,Investor - Partnership,,Emergency - Basic,,,150-199,District 35,District 66,Gardena Southeast/Harbor Gateway Central/Lawndale South/Moneta/Redondo Beach North/Torrance North,Urban,1159,359,42,18,,,,953,11,,5,26829,109,19726,3994,1177,1992,2608,28029,5,655,251,15543,13949,5,2359,2460,5403,5668,4200,3988,3251,1352,816,,51,721,13958,54,76,4648,241,9748,11207,18013,277,49,26492,1,2955,1647,5,1576,92,517,428,314,1901,1576,1541,6071,1739,2024,101,1326,38,836,2369,1051,4332,11,1,2,555,13,,,,244,547,212,229,25,4,6,2736,740,2574,1920,27,200,77,4511,226,29,2297,2501,243,434,525,926,1197,805,635,,200,2439,,617,30,1496,25,1475,3298,51,4112,,635,833,645,60,4,329,1,320,1015,338,106,101,73,325,,368,108,149,,,50,1,31,,33,,16,,4,19,1,,,4,,,,,,10
106190522,190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,General Acute Care Hospital,Los Angeles,1420 S CENTRAL AVE,GLENDALE,91204,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 25,District 43,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,Urban,355,1222,37,45,15,,9,78,11,7,3,22994,265,14219,4790,356,4123,1545,23685,3,778,302,13710,11329,4,2121,1796,4258,4108,3194,3138,2889,1964,1575,,26,1274,1136,22,66,6493,501,15525,11334,13522,187,1991,19558,12,3482,2060,11,1532,95,520,262,245,515,1649,1121,4694,805,2276,85,885,14,839,1789,969,4631,1,1,142,133,46,,,10,150,214,230,1099,126,54,248,3191,764,2018,3269,39,663,139,5500,574,39,2861,3268,380,528,555,853,1148,1122,1478,,450,388,11,1103,85,4072,56,1882,4193,1011,4307,10,803,1317,689,58,7,232,5,371,1328,359,733,88,128,150,,334,112,124,12,1,41,1,8,37,30,,22,1,2,58,1,2,35,,,3,9,,,16
106190524,190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,General Acute Care Hospital,Los Angeles,14850 ROSCOE BLVD,PANORAMA CITY,91402,Investor - Limited Liability Company,,Emergency - Basic,,,100-149,District 18,District 46,Northridge South/Reseda North,Urban,18,743,6,1,,,15,15,,,2,8634,26,5952,1805,224,818,982,9339,3,370,69,4445,5336,,252,679,1753,1709,1491,1494,1333,664,405,1,30,602,1022,48,22,173,18,7866,5879,3887,15,358,6521,1,2901,599,,804,31,198,170,102,363,642,699,2103,961,613,15,427,10,86,561,375,1022,320,1,,,,,,,89,255,167,409,25,16,14,2556,1285,2198,1501,26,1016,87,4079,727,18,1945,2883,573,739,597,707,828,700,616,,353,725,32,22,15,3681,,1939,2889,208,3791,,829,329,360,24,2,218,,238,764,269,1958,74,32,141,3,236,66,112,10,1,,4,,,68,,,,2,,,,,1,,,,,,10
106190525,190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,General Acute Care Hospital,Los Angeles,2801 ATLANTIC AVE,LONG BEACH,90806,Non-profit Corporation (incl. Church-related),Level II & Level II - Ped,Emergency - Basic,,Teaching,300-499,District 33,District 70,Bixby Knolls/Long Beach Central,Urban,757,,100,111,9,,10,15,552,14,,67109,158,47187,7282,626,14656,2575,70307,26,1432,534,38894,33427,5,22253,9246,9854,9454,6555,5829,4657,2728,1730,20,290,3711,13003,1673,844,20571,746,31488,41850,29955,521,711,60190,93,11332,3597,50,4987,438,1331,907,737,1262,4039,5469,11863,1727,4859,179,2784,30,2232,8844,2253,14376,11,3480,1,26,362,,,,291,,556,2256,190,8,274,6689,1618,3861,5867,113,2005,57,11396,419,81,5995,5908,708,1143,1203,1877,2432,2388,2045,,1184,2205,266,2269,113,5662,128,4189,7586,533,9520,31,1819,2414,1581,166,34,630,37,574,1901,1825,110,346,591,463,1,527,221,352,4,2,10,6,1,,107,39,165,9,19,102,4,,,1,,,,,,64
106190529,190529,USC ARCADIA HOSPITAL,General Acute Care Hospital,Los Angeles,300 W HUNTINGTON DR,ARCADIA,91007,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 22,District 49,Arcadia Central and Northeast/Bradbury/Monrovia/Sierra Madre,Urban,913,2176,76,85,12,,1,20,181,5,10,32199,277,2030,8403,401,22127,3000,34618,7,636,368,19531,16430,1,4067,3221,4523,4783,4372,4278,4222,3343,3153,,50,5910,2138,484,123,15289,557,11411,16537,18973,452,2182,29780,61,3939,2897,2,2200,214,665,588,435,748,2335,2159,7617,1136,2617,139,1397,32,713,2442,1064,6545,,7,114,219,17,,,1,405,188,457,1636,271,14,485,3773,1268,560,5023,28,2851,55,8384,44,60,4327,4190,211,384,601,1043,1497,1921,2826,6,2045,349,51,2771,41,3248,41,332,8144,1199,6255,15,1048,1660,1342,95,20,504,12,605,1459,924,39,214,384,287,8,544,162,201,1,1,,1,3,,28,12,,2,6,49,18,,,,,,25,,,26
106190547,190547,MONTEREY PARK HOSPITAL,General Acute Care Hospital,Los Angeles,900 S ATLANTIC BLVD,MONTEREY PARK,91754,Investor - Partnership,,Emergency - Basic,,,100-149,District 22,District 49,Montebello North/Monterey Park/South San Gabriel,Urban,238,651,7,,,,,16,38,,,15413,20,1954,1844,184,11773,631,16131,2,145,80,9540,6844,2,2187,1995,3046,2491,2075,1774,1350,812,655,1,26,988,279,25,16,905,852,13295,14426,1871,89,262,10992,34,5098,691,1,1824,50,494,152,210,158,1253,1217,3650,443,968,47,609,,313,1689,691,1926,1,,16,12,,2,,,66,150,39,255,46,4,5,1330,206,845,1047,15,180,16,2058,38,8,1081,1024,107,173,258,313,365,377,498,,340,55,,111,85,1514,2,1566,537,153,1076,2,874,348,439,31,10,186,3,191,319,93,32,30,66,67,,124,72,77,,2,,,1,,14,,,,1,16,,,,1,,2,,1,,6
106190555,190555,CEDARS-SINAI MEDICAL CENTER,General Acute Care Hospital,Los Angeles,8700 BEVERLY BLVD,LOS ANGELES,90048,Non-profit Corporation (incl. Church-related),Level I & Level II - Ped,Emergency - Basic,,Teaching,500+,District 26,District 50,Hollywood Hills/Hollywood West/Mount Olympus/West Hollywood,Urban,1196,1589,126,2,1,,56,,694,11,1,50869,42,17158,11287,1117,20189,4836,49111,346,3143,1969,28319,26259,9,2831,2119,9243,10576,7962,7134,6508,4618,3439,157,114,3264,11533,1364,144,5132,1136,31900,12406,41005,1176,2074,48661,241,3611,4365,25,2877,350,558,790,662,1399,3396,2571,10891,3221,4874,210,2468,89,1182,2615,1764,10241,,,10,8,39,,,,260,617,1158,6976,377,73,1303,11559,3154,3554,15451,203,6079,331,24170,819,573,12568,13036,1196,2010,2205,3170,4621,5459,6349,20,1726,4606,696,1955,376,16145,416,4507,20696,2737,20614,156,2112,4383,3804,373,54,1029,42,1607,4404,4045,296,823,1307,894,4,1251,586,410,5,2,129,52,,364,225,52,63,51,58,148,2,15,50,1,,1,5,3,,51
106190568,190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,General Acute Care Hospital,Los Angeles,18300 ROSCOE BLVD,NORTHRIDGE,91325,Non-profit Corporation (incl. Church-related),Level II & Level II - Ped,Emergency - Basic,,,300-499,District 27,District 45,Northridge South/Reseda North,Urban,495,2200,96,355,183,,,1,195,,8,43222,305,27962,7190,996,7826,3260,44669,1,1747,488,24972,22259,3,6359,4590,8011,7072,5701,5382,4763,2841,2493,22,220,3393,3358,790,120,2382,943,36028,23919,23046,269,1010,36265,183,9776,3198,5,2292,135,874,551,543,736,2485,2518,9086,2131,3824,81,1870,47,1183,4044,1463,10107,3,4,269,60,61,167,,,428,309,330,1923,325,33,252,5274,1591,3193,5301,161,1813,191,9845,673,90,5007,5651,665,770,925,1229,1841,1921,2397,3,1095,625,93,519,303,7960,111,3349,7199,516,8415,108,1620,2167,1131,79,5,434,3,508,2142,1696,855,112,163,305,,567,106,244,62,7,118,1,49,462,446,34,30,9,6,74,4,1,53,,3,,1,,,37
106190570,190570,NORWALK COMMUNITY HOSPITAL,General Acute Care Hospital,Los Angeles,13222 BLOOMFIELD AVE,NORWALK,90650,Investor - Corporation,,Emergency - Basic,,,50-99,District 32,District 57,Norwalk/Studebaker,Urban,201,514,11,,,,47,17,355,3,49,3698,123,2892,655,65,1080,334,4756,1,186,57,2435,2588,3,324,419,899,936,721,738,602,235,150,2,24,652,509,145,24,2291,,1381,3044,1754,228,18,4301,4,703,281,1,294,13,97,58,64,301,327,237,1052,613,291,6,183,2,55,372,180,599,3,4,12,14,,1,,,114,78,56,49,5,13,1,662,713,648,967,36,94,10,1690,55,9,766,989,61,113,175,322,450,340,292,2,151,244,32,681,95,552,92,749,914,23,1461,,271,190,212,15,3,117,,165,519,156,69,45,16,94,1,56,56,38,5,2,55,,,,,,,,3,,,,,1,1,,1,,,4
106190587,190587,COLLEGE MEDICAL CENTER,General Acute Care Hospital,Los Angeles,2776 PACIFIC AVE,LONG BEACH,90806,Investor - Limited Liability Company,,Emergency - Basic,,,100-149,District 33,District 70,Bixby Knolls/Long Beach Central,Urban,270,372,19,5,1,,6,49,814,36,60,4815,205,3846,1638,31,667,472,5186,4,1105,58,2841,3812,1,85,314,1139,1495,1199,1025,792,373,232,,54,301,2080,78,80,1524,110,2427,2298,4179,177,21,6316,,317,386,,208,17,46,94,38,286,266,134,892,2304,345,8,257,7,74,302,209,781,,,1,300,,2,,,185,304,95,156,34,186,162,3010,625,3226,1385,13,166,66,3127,1552,19,1837,3016,686,998,744,829,693,489,371,,285,1501,75,1078,21,1807,46,1592,3218,45,4598,6,207,357,310,29,4,197,,164,336,166,2576,83,27,116,,260,87,124,3,11,73,,158,,46,27,62,,6,14,,3,,,12,,,,,7
106190630,190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,General Acute Care Hospital,Los Angeles,1798 N GAREY AVE,POMONA,91767,Non-profit Corporation (incl. Church-related),Level II,Emergency - Basic,,,300-499,District 20,District 52,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,697,3821,157,4,12,,54,1041,407,4,16,71409,319,39489,10083,1249,22832,4413,76144,,1183,675,42496,35567,3,11635,7516,12316,11961,9379,9234,7320,4639,4035,31,65,4405,5911,7291,236,9536,121,50501,46264,30190,1612,917,66211,415,10523,4872,22,4148,419,1157,1044,749,3963,4405,7624,14641,2490,5756,208,3003,178,2600,5154,2457,13029,11,114,4,60,147,,,,383,356,836,197,360,32,136,9156,1765,4388,6711,175,1986,206,12944,424,91,6264,7202,809,1070,1227,2008,2501,2506,2895,2,1135,1025,1216,1370,16,8638,167,6084,7215,359,10792,104,2211,2749,1542,85,11,680,6,739,2970,2364,169,195,352,424,2,669,162,149,6,21,203,,1,274,174,13,53,4,8,153,13,,33,2,,,6,,,72
106190631,190631,PIH HEALTH HOSPITAL - WHITTIER,General Acute Care Hospital,Los Angeles,12401 WASHINGTON BLVD,WHITTIER,90602,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,500+,District 32,District 57,La Habra Heights/Whittier,Urban,640,915,78,31,23,,,366,525,,62,55057,175,27154,11586,1107,15535,2916,55659,5,1402,295,32722,25576,,7572,5629,8843,8493,6766,6774,5787,4384,4038,12,1015,1871,1171,665,,18075,2858,32643,45010,10568,2720,248,49704,21,8325,3783,13,3389,135,1197,608,588,1636,4111,3468,11405,1879,4255,131,2273,26,1529,4622,2127,11035,,426,8,929,88,,,,493,390,588,4882,419,21,179,7175,1722,3242,9744,76,2709,138,15337,368,63,8385,7524,614,1070,1426,2244,2949,3357,4133,2,746,276,147,4582,481,9389,459,10519,4931,177,12634,10,3088,3142,2550,170,41,905,45,1105,2780,1417,227,407,526,764,,676,256,679,4,1,30,,136,31,83,288,,9,20,164,2,,26,,,,5,,3,61
106190636,190636,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,General Acute Care Hospital,Los Angeles,1115 S SUNSET AVE,WEST COVINA,91790,Investor - Corporation,,Emergency - Basic,,,300-499,District 22,District 48,Valinda/West Covina,Urban,669,2331,44,1,7,1,5,658,373,,5,48110,169,33141,6976,636,7871,3945,51365,1,701,278,28724,23845,,10319,5661,8458,7669,5698,5693,4730,2494,1847,,62,3724,1553,39,225,1226,506,45234,41555,10738,276,643,42616,39,9271,2703,8,3281,145,1391,596,540,1322,3426,2858,9908,1618,3273,128,2165,1,1994,6573,1938,8570,1,195,24,200,131,,,,496,324,338,1398,214,9,150,3885,996,3116,3572,36,981,157,7673,155,24,3943,3919,483,630,747,1142,1568,1379,1446,,945,258,,173,69,6375,28,5225,2609,288,5639,11,1924,1326,1414,139,16,515,5,549,1292,551,82,130,201,304,,621,149,215,4,,41,,10,338,129,,42,3,10,230,7,,110,,,,,,,24
106190673,190673,SAN DIMAS COMMUNITY HOSPITAL,General Acute Care Hospital,Los Angeles,1350 W COVINA BLVD,SAN DIMAS,91773,Investor - Limited Liability Company,,Emergency - Basic,,,100-149,District 25,District 41,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,317,535,11,14,4,,,175,72,,13,11049,49,801,2489,275,8153,538,12084,,19,126,6780,5476,,1220,1285,1823,1783,1619,1557,1249,925,795,,37,773,839,61,,140,5,10401,6131,6123,2,59,11773,4,420,794,2,893,46,250,197,130,305,754,694,2747,447,729,18,512,16,265,1202,472,1783,1,16,26,1,,,,,107,212,174,470,67,21,14,1222,561,653,1697,26,450,27,2780,53,18,1512,1341,110,170,213,410,550,563,802,10,225,196,,,11,2421,,973,1880,33,2695,2,123,358,409,19,5,147,3,210,818,199,19,75,41,211,10,188,49,47,,1,3,1,1,,25,,,,,45,,,,1,,,,,,8
106190680,190680,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,General Acute Care Hospital,Los Angeles,1300 W 7TH ST,SAN PEDRO,90732,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,200-299,District 35,District 70,Miraleste/Palo Verdes Estates/Portuguese Bend/Rancho Palos Verdes/Rolling Hills/San Pedro West,Urban,614,439,15,76,5,32,28,129,369,5,8,31545,79,19929,5122,1083,6144,1129,32854,13,240,288,18233,15157,17,3734,3333,5070,5450,4716,4249,3485,1865,1487,18,49,623,3481,641,133,14472,569,13439,19261,13690,456,304,28155,34,4914,1716,10,2062,71,760,356,349,638,2048,2223,6967,1543,2510,92,1494,24,838,3316,1659,4711,32,31,2,10,20,,,,260,164,154,435,76,45,16,2114,395,1236,1702,69,647,50,3429,230,43,1852,1851,186,348,413,604,762,632,726,,141,355,67,1062,67,1990,50,1511,2143,112,3029,6,557,505,608,28,8,192,3,279,806,316,268,56,61,123,1,235,119,74,1,29,15,2,,,33,,22,,1,21,,1,,,,,,,,16
106190687,190687,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,General Acute Care Hospital,Los Angeles,1250 16TH ST,SANTA MONICA,90404,University of California,,Emergency - Basic,,,200-299,District 26,District 50,Santa Monica Central/Sawtelle/West Los Angeles,Urban,440,223,34,48,6,,8,110,218,20,2,31989,106,11950,5279,675,13162,2143,29545,139,2659,856,17541,15652,16,3705,2850,5027,5428,4202,4148,3532,2409,1898,10,196,1752,4241,920,52,6105,2715,17228,9975,21976,1258,643,29989,52,2525,2032,5,1708,200,608,363,377,693,1954,1606,7822,1068,2650,82,1281,42,608,2293,1387,6385,,5,2,8,45,,,,182,193,247,2165,181,21,140,3596,948,1248,4367,31,2069,27,7359,249,122,4081,3661,338,549,592,872,1329,1576,1902,1,566,946,180,952,708,4324,441,1614,5688,411,6715,11,606,988,1126,162,17,476,3,498,1362,741,149,315,513,291,,594,185,204,2,,64,13,,337,247,52,15,11,28,29,4,1,51,,,1,,,,21
106190696,190696,PACIFICA HOSPITAL OF THE VALLEY,General Acute Care Hospital,Los Angeles,9449 SAN FERNANDO RD,SUN VALLEY,91352,Investor - Corporation,,Emergency - Basic,,,200-299,District 18,District 39,Pacoima East/Sun Valley West,Urban,157,763,13,6,,,,23,7,,3,5929,1,4692,706,157,746,607,6701,,110,66,2961,3947,,350,620,1288,1363,1170,999,736,258,124,,,126,697,,19,4719,15,1332,4610,2277,21,48,5328,,1532,209,1,426,20,118,48,99,76,370,438,1671,656,672,9,239,7,39,412,298,1100,,3,1,30,,,3,,37,322,44,20,2,20,13,1682,164,1646,552,2,152,32,1889,480,7,820,1564,295,479,437,450,370,173,146,,49,390,,1311,18,616,8,1293,1083,24,1953,1,406,159,266,14,3,96,,124,171,102,1020,46,11,54,2,100,70,144,4,1,75,,8,,34,,,,2,,,,,,,,,,,7
106190708,190708,SHERMAN OAKS HOSPITAL,General Acute Care Hospital,Los Angeles,4929 VAN NUYS BLVD,SHERMAN OAKS,91403,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,150-199,District 18,District 46,Sherman Oaks/Studio City/Valley Village,Urban,485,823,27,8,6,,1,448,858,12,36,15182,309,9589,3292,205,3338,1784,15814,20,1680,361,8580,9627,1,893,1125,3205,3675,2795,2558,2012,1078,867,,11,496,2318,14,21,5339,494,9515,4737,13382,89,162,17163,8,875,1092,5,837,26,260,170,147,645,884,713,4322,2144,1155,36,853,35,199,1111,633,2941,,3,4,329,,10,,,125,276,192,302,54,38,69,1315,1196,1041,2345,8,306,25,3466,195,51,1743,1982,113,260,291,472,774,850,951,,105,309,,964,116,2231,24,651,3050,47,3547,2,129,576,428,21,17,256,,232,811,349,249,134,44,184,4,251,99,65,,10,147,,13,,14,,,1,4,,,,,,1,,,,,12
106190754,190754,ST. FRANCIS MEDICAL CENTER,General Acute Care Hospital,Los Angeles,3630 E IMPERIAL HWY,LYNWOOD,90262,Investor - Limited Liability Company,Level II,Emergency - Basic,,,300-499,District 33,District 63,Downey Southwest/Lynwood North Central/South Gate East,Urban,163,2567,168,78,7,,973,195,101,3,21,43978,34,30916,3190,425,11438,2394,47497,2,657,183,26287,22064,12,6583,5134,9876,8781,5957,5182,3955,1845,1036,14,59,276,8248,540,60,37174,455,1551,37334,10277,752,59,33303,174,14827,2604,13,2873,244,864,767,359,875,2996,2761,10882,2124,2833,158,2273,37,4174,3862,1403,6115,9,15,1,23,146,51,,,423,623,487,1246,146,70,121,8483,980,9636,1681,180,535,717,11923,779,37,6448,6301,2040,2153,1564,1815,2099,1511,1210,,176,2517,205,8857,172,765,256,8814,3679,27,8401,47,4274,1857,1098,82,22,631,12,520,1688,1705,1632,237,150,449,3,528,129,203,2,59,107,,9,38,319,25,32,2,3,1760,2,,38,,,,1,,,42
